ID,TYPE,SEQ,SEGMENT,ISEQ,Longitude,Latitude,REAL_TIMESTAMP,ACCURACY,USER_ID,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
189959052,1,496,121,5,12.0840865920411,55.6199624298318,2016-06-30 21:27:00,65,7481,6302127,6302126,6302125,6302115,6302100,6302000,354,680,44,,15,0,451,0,0,0.033259423503,0,1,0,0,0
189959443,0,513,126,2,12.0838188690733,55.6199537587138,2016-06-30 21:44:45,10,7481,6302144,6302144,6302140,6302130,6302100,6302000,353,681,44,,24,0,150,0,0,0.16,0,0,1,0,0
189959479,1,514,127,1,12.0838632058805,55.6199500704274,2016-06-30 21:45:00,10,7481,6302145,6302144,6302145,6302145,6302100,6302000,353,680,44,,31,11,159,0,0.069182389937,0.194968553459,0.069182389937,0,1,0,0
189959497,1,515,127,2,12.0840376156494,55.6199456818096,2016-06-30 21:46:00,10,7481,6302146,6302146,6302145,6302145,6302100,6302000,354,680,44,,31,11,159,0,0.069182389937,0.194968553459,0.069182389937,0,1,0,0
189959503,0,516,127,3,12.0843139043041,55.6199431975152,2016-06-30 21:47:24,10,7481,6302147,6302146,6302145,6302145,6302100,6302000,356,681,44,,31,11,159,0,0.069182389937,0.194968553459,0.069182389937,0,1,0,0
189959514,1,517,128,1,12.0842423260532,55.6199225499836,2016-06-30 21:48:00,23,7481,6302148,6302148,6302145,6302145,6302100,6302000,355,680,44,,18,0,142,0,0,0.12676056338,0,1,0,0,0
189959522,0,518,128,2,12.0840547358426,55.6198625636019,2016-06-30 21:49:46,65,7481,6302149,6302148,6302145,6302145,6302100,6302000,355,680,44,10,18,0,142,0,0,0.12676056338,0,1,0,0,0
189959539,1,519,129,1,12.0840464206791,55.6198555580235,2016-06-30 21:50:00,65,7481,6302150,6302150,6302150,6302145,6302100,6302000,354,679,44,10,0,0,150,0,0,0,0,1,0,0,0
189959551,1,520,129,2,12.0840464206791,55.6198555580235,2016-06-30 21:51:00,65,7481,6302151,6302150,6302150,6302145,6302100,6302000,354,679,44,10,0,0,150,0,0,0,0,1,0,0,0
189959555,0,521,129,3,12.0840547358426,55.6198625636019,2016-06-30 21:52:16,65,7481,6302152,6302152,6302150,6302145,6302100,6302000,355,680,44,10,0,0,150,0,0,0,0,1,0,0,0
189959571,0,522,130,1,12.0810748014495,55.6206632030406,2016-06-30 22:01:18,5,7481,6302201,6302200,6302200,6302200,6302200,6302200,335,688,19,,207,137,542,1,0.252767527675,0.381918819188,0.252767527675,0,0,1,0
189959600,1,523,131,1,12.0808083557943,55.6207011641659,2016-06-30 22:02:00,17,7481,6302202,6302202,6302200,6302200,6302200,6302200,333,688,19,,85,15,209,1,0.071770334928,0.406698564593,0.071770334928,0,0,1,0
189959620,1,524,131,2,12.0804320422664,55.620764564142,2016-06-30 22:03:00,34,7481,6302203,6302202,6302200,6302200,6302200,6302200,331,688,19,,85,15,209,1,0.071770334928,0.406698564593,0.071770334928,0,0,1,0
189959626,0,525,131,3,12.0797823119034,55.6208821383644,2016-06-30 22:04:47,65,7481,6302204,6302204,6302200,6302200,6302200,6302200,327,690,19,,85,15,209,1,0.071770334928,0.406698564593,0.071770334928,0,0,1,0
189947641,1,3415,712,15,12.0827501312056,55.6136669370877,2016-07-02 18:26:00,59,32192,7021826,7021826,7021825,7021815,7021800,7021800,349,610,12,,9,0,963,0,0,0.009345794392,0,1,0,0,0
233046685,1,746,152,1,12.0974496320014,55.648771819621,2016-06-30 09:57:00,51,2348,6300957,6300956,6300955,6300945,6300900,6300800,424,1005,,,44,0,140,0,0,0.314285714285,0,0,1,0,0
233046688,1,398,83,12,12.0695137578685,55.6217307361571,2016-06-30 05:41:00,61,21338,6300541,6300540,6300540,6300530,6300500,6300400,262,696,32,,2,0,892,0,0,0.002242152466,0,1,0,0,0
233046698,1,1816,395,9,12.0819997643914,55.6134161036079,2016-06-28 00:39:00,30,16473,6280039,6280038,6280035,6280030,6280000,6280000,344,607,12,,27,0,757,0,0,0.035667107001,0,0,1,0,0
189947639,1,1756,327,2,12.0860235237756,55.61711771251,2016-06-29 17:26:00,25,16170,6291726,6291726,6291725,6291715,6291700,6291600,368,649,39,,0,0,293,0,0,0,0,1,0,0,0
189947646,1,5675,1450,1,12.0746142214777,55.6458673856832,2016-07-01 06:24:00,61,10595,7010624,7010624,7010620,7010615,7010600,7010600,282,966,,,15,0,635,0,0,0.023622047244,0,1,0,0,0
189947644,1,2321,397,1,12.0676144413902,55.6191801284879,2016-06-27 19:34:00,5,1880,6271934,6271934,6271930,6271930,6271900,6271800,251,667,32,,12,0,79,0,0,0.151898734177,0,1,0,0,0
189947652,1,3111,698,2,12.0836729049685,55.6187411787126,2016-06-29 23:57:00,8,4318,6292357,6292356,6292355,6292345,6292300,6292200,352,667,39,,144,129,406,1,0.317733990147,0.354679802955,0.317733990147,0,0,1,0
189947684,0,3416,712,16,12.0827723045809,55.6136740364834,2016-07-02 18:27:33,65,32192,7021827,7021826,7021825,7021815,7021800,7021800,350,611,12,,9,0,963,0,0,0.009345794392,0,1,0,0,0
189947720,0,2322,397,2,12.067643974283,55.6190939430352,2016-06-27 19:35:04,10,1880,6271935,6271934,6271935,6271930,6271900,6271800,252,667,32,,12,0,79,0,0,0.151898734177,0,1,0,0,0
189947737,1,3112,698,3,12.0840065638447,55.6187417733461,2016-06-29 23:58:00,7,4318,6292358,6292358,6292355,6292345,6292300,6292200,354,667,44,,144,129,406,1,0.317733990147,0.354679802955,0.317733990147,0,0,1,0
189947747,0,3417,713,1,12.0826733981176,55.6137402535224,2016-07-02 18:28:06,65,32192,7021828,7021828,7021825,7021815,7021800,7021800,349,611,12,,9,0,33,0,0,0.272727272727,0,1,0,0,0
189947756,1,5676,1450,2,12.0746135179098,55.645858413161,2016-07-01 06:25:00,56,10595,7010625,7010624,7010625,7010615,7010600,7010600,282,966,,,15,0,635,0,0,0.023622047244,0,1,0,0,0
