user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
1,22433,222426,26,70350,64,19025,18407,131991,3936,1060,0.316284967,0.085534065,0.593415338,0.00476563,3
2,60438,707870,23,92841,203,24152,40762,587989,19450,2888,0.131155438,0.034119259,0.830645457,0.004079845,3
3,18543,119285,1,26548,17,5513,9214,85751,9311,1473,0.222559417,0.046217043,0.718874963,0.012348577,3
4,11716,92348,11,37544,135,29014,8155,24970,3415,820,0.40654914,0.314181141,0.270390263,0.008879456,1
5,12023,111344,18,41291,0,9110,4738,59317,7267,1626,0.370841716,0.081818508,0.532736385,0.014603391,3
6,11984,542537,8,112830,15,52632,10923,376924,1038,151,0.207967383,0.097010895,0.6947434,0.000278322,3
7,41586,663281,13,174759,239,49159,40871,439231,463,132,0.263476566,0.074114892,0.662209531,0.000199011,3
8,53513,722474,67,163856,123,88022,46239,469689,7084,907,0.226798473,0.121834142,0.650111976,0.001255408,3
9,106013,695725,5,238112,214,88734,62250,361821,43544,7058,0.342250171,0.127541773,0.520063243,0.010144813,3
10,30986,663539,2,190579,124,77030,22470,395112,8390,818,0.287215974,0.116089635,0.595461608,0.001232784,3
11,81156,524553,0,155198,11,46523,49379,317850,31766,4982,0.295867148,0.088690752,0.60594449,0.00949761,3
12,18006,333472,0,97253,15,65486,17991,170733,0,0,0.291637679,0.196376307,0.511986014,0,3
13,21405,195071,27,104595,163,21682,21184,68784,31,10,0.536189387,0.111149274,0.352610075,5.12634E-05,1
14,4748,52761,0,2400,8,10419,4740,39942,0,0,0.045488145,0.197475408,0.757036447,0,3
15,21812,93266,0,22367,23,13542,11216,55735,10573,1622,0.239819441,0.145197607,0.597591834,0.017391118,3
16,24615,571218,35,241068,167,104837,23249,225009,1164,304,0.422024516,0.183532382,0.393910906,0.000532196,1
17,6023,604284,0,158154,24,9430,5999,436700,0,0,0.26172131,0.015605245,0.722673445,0,3
18,46405,632006,35,156935,87,72007,31113,401325,15170,1739,0.248312516,0.113934045,0.635001883,0.002751556,3
19,46279,633224,113,241146,817,45220,44876,346828,473,30,0.380822584,0.071412328,0.547717711,4.73766E-05,3
20,72805,733850,29,194250,162,46253,61000,491840,11614,1507,0.264699871,0.063027867,0.67021871,0.002053553,3
21,982,18037,0,10424,22,1743,960,5870,0,0,0.577923158,0.096634695,0.325442147,0,1
22,67378,781455,68,328892,201,126891,55789,323844,11320,1828,0.420871323,0.162377872,0.414411578,0.002339226,1
23,76884,398109,1,125400,161,47300,39848,221600,36874,3809,0.314989111,0.118811682,0.556631475,0.009567731,3
24,172,105,0,0,0,0,172,105,0,0,0,0,1,0,3
25,14982,209461,58,74055,281,31906,14643,103499,0,1,0.353550303,0.152324299,0.494120624,4.77416E-06,3
26,11517,131926,1,26496,38,43477,11478,61952,0,1,0.200839865,0.329555963,0.469596592,7.58001E-06,3
27,8401,51185,0,19201,22,13752,5167,17882,3212,350,0.375129432,0.268672463,0.349360164,0.006837941,1
28,27080,582185,0,154569,95,78146,22034,348750,4951,720,0.265498081,0.13422881,0.599036389,0.00123672,3
29,30359,643399,4,130626,173,110375,29328,402240,854,158,0.203024873,0.171549847,0.62517971,0.000245571,3
30,32336,551680,33,186721,106,89844,32027,275086,170,29,0.338458889,0.162855278,0.498633266,5.25667E-05,3
31,0,33081,0,75,0,0,0,33006,0,0,0.002267162,0,0.997732838,0,3
32,20327,609478,1,27800,32,25523,20294,556155,0,0,0.045612803,0.041876819,0.912510378,0,3
33,45302,399705,34,151590,263,73998,37704,173238,7301,879,0.3792547,0.185131535,0.433414643,0.002199122,3
